UNITID,OPEID,opeid6,Display Name
168148,221900,2219,Tufts University
164924,212800,2128,Boston College
164988,213000,2130,Boston University
165015,213300,2133,Brandeis University
165662,214600,2146,Emerson College
166027,215500,2155,Harvard University
166683,217800,2178,Massachusetts Institute of Technology
167358,219900,2199,Northeastern University
168218,222400,2224,Wellesley College
168421,223300,2233,Worcester Polytechnic Institute
130590,141400,1414,Trinity College
160977,203600,2036,Bates College
161004,203800,2038,Bowdoin College
164465,211500,2115,Amherst College
161086,203900,2039,Colby College
191515,272800,2728,Hamilton College
230959,369100,3691,Middlebury College
130697,142400,1424,Wesleyan University
131520,144800,1448,Howard University
140553,158200,1582,Morehouse College
141060,159400,1594,Spelman College
232265,371400,3714,Hampton University
190415,271100,2711,Cornell University
182670,257300,2573,Dartmouth College
130794,142600,1426,Yale University
215062,337800,3378,University of Pennsylvania
217156,340100,3401,Brown University
186131,262700,2627,Princeton University
190150,270700,2707,Columbia University
